Source,Target,Type,Weight,estimate,padj_01
17,80,Undirected,0.7902097902097903,-0.7902097902097903,0.0022231354099909034
17,83,Undirected,0.7552447552447553,-0.7552447552447553,0.004508435484294213
17,76,Undirected,0.7412587412587414,-0.7412587412587414,0.005801150474478249
17,94,Undirected,0.7482517482517483,-0.7482517482517483,0.005124081698753069
18,73,Undirected,0.857146816588891,-0.857146816588891,0.0015278398373375752
18,87,Undirected,0.912141875543738,-0.912141875543738,6.06850679471503e-4
19,69,Undirected,0.8571428571428573,-0.8571428571428573,0.00653001725471529
20,89,Undirected,0.9428571428571428,-0.9428571428571428,0.0048046647230320675
21,73,Undirected,0.8024353176576852,-0.8024353176576852,0.005211461766706417
21,77,Undirected,0.7653778399313848,-0.7653778399313848,0.006045538933212595
21,79,Undirected,0.788156942310295,-0.788156942310295,0.003956192304592847
22,95,Undirected,0.7758717486788799,-0.7758717486788799,0.0030145466009521824
22,90,Undirected,0.7758717486788799,-0.7758717486788799,0.0030145466009521824
23,73,Undirected,0.7941378573405173,-0.7941378573405173,0.0060780214400163604
23,95,Undirected,0.855634264898204,-0.855634264898204,3.8557463054619075e-4
23,85,Undirected,0.8048763000313615,-0.8048763000313615,0.0015888476802689417
23,75,Undirected,0.8048688419946773,-0.8048688419946773,0.002804926936393921
23,77,Undirected,0.8467406314626085,-0.8467406314626085,0.0010085762622845525
23,78,Undirected,0.8467406314626085,-0.8467406314626085,0.0010085762622845525
23,79,Undirected,0.814173684098662,-0.814173684098662,0.0022838074670225366
24,86,Undirected,0.9642857142857141,0.9642857142857141,4.541491691941827e-4
25,75,Undirected,0.8476155310352027,0.8476155310352027,9.84230984908125e-4
25,77,Undirected,0.8178746352094061,0.8178746352094061,0.002098039678604251
25,78,Undirected,0.7980473713255417,0.7980473713255417,0.0032396359890398906
25,79,Undirected,0.7980473713255417,0.7980473713255417,0.0032396359890398906
26,73,Undirected,0.8449887057152897,-0.8449887057152897,0.002085796505334309
26,90,Undirected,0.7530659534637223,-0.7530659534637223,0.004693893048673786
26,87,Undirected,0.912141875543738,-0.912141875543738,6.06850679471503e-4
27,96,Undirected,0.7343158832057564,0.7343158832057564,0.006537925003600076
28,87,Undirected,0.85,-0.85,0.0037047773275857934
29,91,Undirected,0.7600712181471057,0.7600712181471057,0.0041173803556808644
29,97,Undirected,0.7390554240969553,0.7390554240969553,0.006027815593903068
30,75,Undirected,0.7744894808829488,-0.7744894808829488,0.005131181460128418
30,77,Undirected,0.7608220194556026,-0.7608220194556026,0.00654508281541735
30,78,Undirected,0.797268583261859,-0.797268583261859,0.003292264248582341
30,79,Undirected,0.8154918651649872,-0.8154918651649872,0.0022162916546952655
