grouping	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site
site.time	CINAR_BC_76	0.2648878842112077	Metab_222	seawater	20210123	dawn	Day2	Yawzi
site.time	CINAR_BC_100	0.104508449738557	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass
site.time	CINAR_BC_99	0.09055083673548041	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass
site.time	CINAR_BC_70	0.0490241697729226	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass
site.time	CINAR_BC_52	0.057666708384124785	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass
site.time	CINAR_BC_95	0.11825123079991247	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass
site.time	CINAR_BC_119	0.08975417734425373	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass
site.time	CINAR_BC_49	0.0721568553038957	Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass
site.time	CINAR_BC_117	0.1864826130575433	Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass
site.time	CINAR_BC_74	0.09915472447272726	Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass
site.time	CINAR_BC_48	0.06691028853372152	Metab_183	seawater	20210123	peak_photo	Day2	LB_seagrass
site.time	CINAR_BC_120	0.10097348927831402	Metab_332	seawater	20210126	peak_photo	Day5	LB_seagrass
site.time	CINAR_BC_98	0.3897446898293524	Metab_270	seawater	20210125	peak_photo	Day4	Tektite
site.time	CINAR_BC_90	0.17855018959107152	Metab_264	seawater	20210125	peak_photo	Day4	Tektite
site.time	CINAR_BC_72	0.27434484256238684	Metab_266	seawater	20210124	peak_photo	Day3	Tektite
site.time	CINAR_BC_93	0.14120848637416378	Metab_261	seawater	20210125	peak_photo	Day4	Tektite
site.time	CINAR_BC_42	0.1601205403265025	Metab_224	seawater	20210123	peak_photo	Day2	Tektite
site.time	CINAR_BC_43	0.22363862059008985	Metab_236	seawater	20210123	peak_photo	Day2	Tektite
site.time	CINAR_BC_68	0.23016108631159451	Metab_283	seawater	20210124	peak_photo	Day3	Tektite
site.time	CINAR_BC_66	0.17676100490312788	Metab_277	seawater	20210124	peak_photo	Day3	Tektite
site.time	CINAR_BC_116	0.1487008408535377	Metab_314	seawater	20210126	peak_photo	Day5	Tektite
site.time	CINAR_BC_115	0.21304820772048924	Metab_311	seawater	20210126	peak_photo	Day5	Tektite
site.time	CINAR_BC_112	0.1981202036045459	Metab_320	seawater	20210126	peak_photo	Day5	Tektite
site.time	CINAR_BC_65	0.17878237144748718	Metab_277	seawater	20210124	peak_photo	Day3	Tektite
site.time	CINAR_BC_44	0.20303410941527902	Metab_227	seawater	20210123	peak_photo	Day2	Tektite
site.time	CINAR_BC_45	0.1474579165770695	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi
site.time	CINAR_BC_69	0.3119590984627842	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi
site.time	CINAR_BC_71	0.19951275337637223	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi
site.time	CINAR_BC_50	0.1519440338735801	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi
site.time	CINAR_BC_67	0.33528934498030993	Metab_271	seawater	20210124	peak_photo	Day3	Yawzi
site.time	CINAR_BC_118	0.26245804347945173	Metab_323	seawater	20210126	peak_photo	Day5	Yawzi
site.time	CINAR_BC_113	0.24593211297075768	Metab_308	seawater	20210126	peak_photo	Day5	Yawzi
site.time	CINAR_BC_96	0.14957914465060512	Metab_285	seawater	20210125	peak_photo	Day4	Yawzi
site.time	CINAR_BC_97	0.2819545867437297	Metab_267	seawater	20210125	peak_photo	Day4	Yawzi
site.time	CINAR_BC_91	0.13251291768529092	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi
site.time	CINAR_BC_114	0.14996515510889558	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi
site.time	CINAR_BC_46	0.25967655726696875	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi
site	CINAR_BC_100	0.11282504936119912	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass
site	CINAR_BC_85	0.08461894192281591	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass
site	CINAR_BC_99	0.10029816315746906	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass
site	CINAR_BC_88	0.08822314331646834	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass
site	CINAR_BC_70	0.06861267494724153	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass
site	CINAR_BC_52	0.07483873002875674	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass
site	CINAR_BC_103	0.08965324178100843	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass
site	CINAR_BC_63	0.10728348571991153	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass
site	CINAR_BC_95	0.12547782806545144	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass
site	CINAR_BC_83	0.08945571782910387	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass
site	CINAR_BC_109	0.21219612421068115	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass
site	CINAR_BC_119	0.09969841847906073	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass
site	CINAR_BC_49	0.0877328862088125	Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass
site	CINAR_BC_117	0.19492929843228388	Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass
site	CINAR_BC_37	0.06854996910035864	Metab_237	seawater	20210123	dawn	Day2	LB_seagrass
site	CINAR_BC_41	0.0772772504679685	Metab_240	seawater	20210123	dawn	Day2	LB_seagrass
site	CINAR_BC_81B	0.09441166874671655	Metab_219	seawater	20210123	dawn	Day2	LB_seagrass
