sample_id	original_ID	sample_type	product_conc	site	sampling_date	sampling_time	sampling_day	dna_extracted	depth	fcm_label	doc_label	metab_spe_label	metab_deriv_label	fcm_Prochlorococcus	fcm_Synechococcus	fcm_Picoeukaryotes	fcm_Unpigmented_cells	batch	is.neg	dna_conc
Metab_282	282	seawater	34.2	LB_seagrass	20210125	peak_photo	Day4	20240722	3.6	300	86	184	CINAR_BC_100	14444	68110	1707	702000	2	FALSE	11.6
Metab_283	283	seawater	26.2	Tektite	20210124	peak_photo	Day3	20240722	7.3	293	60	162	CINAR_BC_68	19145	61190	1077	566000	2	FALSE	8.36
Metab_284	284	seawater	19.1	Yawzi	20210124	dawn	Day3	20240724	8.8	246	50	154	CINAR_BC_53	27207	74924	1668	657000	2	FALSE	8.58
Metab_285	285	seawater	41	Yawzi	20210125	peak_photo	Day4	20240722	8.5	310	82	179	CINAR_BC_96	17109	61019	1576	637000	2	FALSE	15.7
Metab_286	286	seawater	27	LB_seagrass	20210124	peak_photo	Day3	20240718	3.5	255	65	169	CINAR_BC_70	3033	26669	1733	515000	2	FALSE	6.08
Metab_287	287	seawater	21.8	LB_seagrass	20210124	dawn	Day3	20240723	3.4	243	57	158	CINAR_BC_54	3611	25960	3033	360000	2	FALSE	4.28
Metab_289	289	seawater	32.8	LB_seagrass	20210124	peak_photo	Day3	20240722	3.5	258	67	167	CINAR_BC_74	4018	31908	1615	535000	2	FALSE	6.38
Metab_290	290	seawater	22	Tektite	20210124	dawn	Day3	20240724	6.6	252	54	156	CINAR_BC_56	24804	64774	1458	533000	2	FALSE	12.2
Metab_292	292	seawater	33.6	Yawzi	20210124	dawn	Day3	20240724	8.8	249	52	155	CINAR_BC_61	26944	73953	1825	636000	2	FALSE	17.3
Metab_295	295	seawater	31.2	Yawzi	20210124	dawn	Day3	20240723	8.8	248	51	159	CINAR_BC_55	28454	73848	1628	643000	2	FALSE	12.2
Metab_303	303	seawater	21.6	Yawzi	20210126	dawn	Day5	20240712	8.3	357	88	193	CINAR_BC_107	28862	68530	1431	643000	2	FALSE	11.8
Metab_306	306	seawater	29.2	Yawzi	20210126	dawn	Day5	20240712	8.3	360	90	188	CINAR_BC_111	NA	NA	NA	NA	2	FALSE	15.7
Metab_308	308	seawater	18.6	Yawzi	20210126	peak_photo	Day5	20240711	8.8	330	104	198	CINAR_BC_113	18593	57762	1497	591000	2	FALSE	8.18
Metab_309	309	seawater	17.1	LB_seagrass	20210126	dawn	Day5	20240712	3.7	356	92	195	CINAR_BC_109	10977	54230	2784	735000	2	FALSE	8.6
Metab_311	311	seawater	44	Tektite	20210126	peak_photo	Day5	20240711	9.2	336	100	205	CINAR_BC_115	17398	39708	959	459000	2	FALSE	8.68
Metab_312	312	seawater	27.8	Tektite	20210126	dawn	Day5	20240712	9.4	335	94	191	CINAR_BC_101	25040	45616	1142	462000	2	FALSE	12.1
Metab_313	313	seawater	29.4	Yawzi	20210125	dawn	Day4	20240723	8.4	352	73	172	CINAR_BC_80	25500	66705	1865	631000	2	FALSE	16.5
Metab_314	314	seawater	25.8	Tektite	20210126	peak_photo	Day5	20240711	9.2	345	101	199	CINAR_BC_116	25040	37528	1011	462000	2	FALSE	9.2
Metab_315	315	seawater	28.8	Tektite	20210126	dawn	Day5	20240712	9.4	344	96	196	CINAR_BC_108	32709	56896	1497	604000	2	FALSE	14.3
Metab_316	316	seawater	32	Tektite	20210125	dawn	Day4	20240723	9.6	305	71	178	CINAR_BC_84	29715	56594	1458	530000	2	FALSE	12.8
Metab_317	317	seawater	30	Yawzi	20210126	peak_photo	Day5	20240711	8.8	333	103	201	CINAR_BC_114	20773	60428	1392	618000	2	FALSE	12
Metab_318	318	seawater	33.6	LB_seagrass	20210126	dawn	Day5	20240712	3.7	364	93	194	CINAR_BC_110	10505	58629	2272	687000	2	FALSE	10.8
Metab_319	319	seawater	43.6	Tektite	20210125	dawn	Day4	20240723	9.6	358	69	174	CINAR_BC_81A	30214	58590	1497	551000	2	FALSE	13.8
Metab_320	320	seawater	33.6	Tektite	20210126	peak_photo	Day5	20240711	9.2	339	102	204	CINAR_BC_112	22874	42688	972	474000	2	FALSE	9.92
Metab_321	321	seawater	40	Tektite	20210126	dawn	Day5	20240712	9.4	338	95	190	CINAR_BC_104	33470	54900	1247	510000	2	FALSE	9.78
Metab_321	321	seawater	40	Tektite	20210126	dawn	Day5	20240712	9.4	338	95	190	CINAR_BC_105	33470	54900	1247	510000	2	FALSE	9.78
Metab_321	321	seawater	40	Tektite	20210126	dawn	Day5	20240712	9.4	338	95	190	CINAR_BC_106	33470	54900	1247	510000	2	FALSE	9.78
Metab_322	322	seawater	21.6	Tektite	20210125	dawn	Day4	20240722	9.6	302	70	171	CINAR_BC_75	31514	56922	1694	511000	2	FALSE	10.1
Metab_323	323	seawater	39.6	Yawzi	20210126	peak_photo	Day5	20240724	8.8	348	105	202	CINAR_BC_118	21902	61465	1536	660000	2	FALSE	20.8
Metab_324	324	seawater	25.2	LB_seagrass	20210126	dawn	Day5	20240712	3.7	359	91	192	CINAR_BC_103	11082	56870	2547	756000	2	FALSE	17.1
Metab_325	325	seawater	20.6	Yawzi	20210125	dawn	Day4	20240722	8.4	355	74	177	CINAR_BC_86	25132	68070	1681	620000	2	FALSE	13
Metab_326	326	seawater	28.8	LB_seagrass	20210126	peak_photo	Day5	20240711	3.6	351	99	197	CINAR_BC_117	13590	59207	2206	756000	2	FALSE	10.3
Metab_327	327	seawater	34	Yawzi	20210126	dawn	Day5	20240712	8.3	361	87	189	CINAR_BC_102	30779	72128	1563	609000	2	FALSE	13.7
Metab_328	328	seawater	26.8	LB_seagrass	20210125	dawn	Day4	20240722	3.8	343	77	170	CINAR_BC_87	14024	65339	3467	716000	2	FALSE	7.58
Metab_328	328	seawater	26.8	LB_seagrass	20210125	dawn	Day4	20240722	3.8	343	77	170	CINAR_BC_88	14024	65339	3467	716000	2	FALSE	7.58
Metab_328	328	seawater	26.8	LB_seagrass	20210125	dawn	Day4	20240722	3.8	343	77	170	CINAR_BC_89	14024	65339	3467	716000	2	FALSE	7.58
Metab_329	329	seawater	30.2	LB_seagrass	20210126	peak_photo	Day5	20240711	3.6	342	98	200	CINAR_BC_119	14405	59653	1694	761000	2	FALSE	12.5
Metab_331	331	seawater	37.2	Yawzi	20210125	dawn	Day4	20240723	8.4	349	72	176	CINAR_BC_82	23570	63684	1471	609000	2	FALSE	15.9
Metab_332	332	seawater	27.6	LB_seagrass	20210126	peak_photo	Day5	20240711	3.6	354	97	203	CINAR_BC_120	13052	59850	1497	745000	2	FALSE	18.6
Metab_334	334	seawater	25.2	LB_seagrass	20210125	dawn	Day4	20240723	3.8	340	75	175	CINAR_BC_83	8732	47691	3427	644000	2	FALSE	7.12
Metab_337	337	seawater	33.4	LB_seagrass	20210125	dawn	Day4	20240723	3.8	346	76	173	CINAR_BC_85	9192	46759	3165	629000	2	FALSE	9.34
Metab_180	180	seawater	23.6	Tektite	20210122	peak_photo	Day1	20221025	7.8	220	22	130	CINAR_BC_27	18790	69134	1405	627000	1	FALSE	1.6483636363636363
Metab_182	182	seawater	57.8	LB_seagrass	20210122	dawn	Day1	20221025	2.8	197	20	118	CINAR_BC_19	17989	64144	1549	622000	1	FALSE	1.01020202020202
Metab_199	199	seawater	10.6	LB_seagrass	20210122	peak_photo	Day1	20221025	3.1	217	29	133	CINAR_BC_28	7169	37948	1287	676000	1	FALSE	5.644313131313132
Metab_219	219	seawater	49.2	LB_seagrass	20210123	dawn	Day2	20221025	3	201	38	138	CINAR_BC_81B	5436	25868	1996	456000	1	FALSE	9.648181818181818
Metab_224	224	seawater	16	Tektite	20210123	peak_photo	Day2	20221025	8.9	250	41	143	CINAR_BC_42	18790	58590	1195	567000	1	FALSE	12.385777777777779
Metab_231	231	seawater	24.6	Tektite	20210123	dawn	Day2	20221025	7.4	195	36	140	CINAR_BC_36	25828	63645	801	592000	1	FALSE	18.854242424242422
Metab_233	233	seawater	47	LB_seagrass	20210123	peak_photo	Day2	20221025	3.8	262	47	145	CINAR_BC_49	1996	16256	1339	378000	1	FALSE	0.28804040404040404
Metab_235	235	seawater	16.7	Tektite	20210122	dawn	Day1	20221025	8.3	221	13	123	CINAR_BC_16	24134	75857	1169	612000	1	FALSE	8.555000000000001
