"","metabolites","adaptedDervLabel","File_Name_Neg","File_Name_Pos","rowID_full","rep_group","n","Site","Site_abv","group","Date","Time","sample_type","Sampling_Day","collection_depth_m","DNA_no","Before_mass_g","After_mass_g","vol_difference","vol_ml","SPE_label","Deriv_label","Deriv_mass_g","FCM_no","DOC_no","HOBO_temp_F","HOBO_lumens","Dry_shipper","Notes","Analyze_","matlabName","DateRun","filename","NPOC","TN","CINARSampleBox","AddedDetailFromNotesInsideSampleBox","Experiment","Sample_ID","Filtration_typeOrReef","TimeOrDay","TreatmentOrTimeCollected","IncubationOrTimeOfDay","Prochlorococcus","Synechococcus","Picoeukaryotes","Unpigmented_cells","date_time","concentration","LOD","LOQ","QuantFlag","LODflag","site_time","log2_concen"
"21","3'AMP","CINAR_BC_40","mtab_CINAR_BC_lumos_032822_103","mtab_CINAR_BC_lumos_032822_216","54","18",4,"Yawzi","YZ","coral",2021-01-23,06:20:00,"dawn","Day2",8.2,228,1883,332,1551,1.51,134,"Deriv_38*, Deriv_39, Deriv_40",NA,213,33,80.382,0,NA,NA,1,"CINAR_BC_40","31-Mar-22","CINAR_33",138.6777934,7.3671882,1,"USVI 2021","Temporal",213,"Yawzi","1/23/2021",06:20:00,"dawn",21075,65549,1142,633000,2021-01-23 06:20:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_dawn",0.000725573909632558
"22","3'AMP","CINAR_BC_91","mtab_CINAR_BC_lumos_032822_74","mtab_CINAR_BC_lumos_032822_187","63","21",3,"Yawzi","YZ","coral",2021-01-25,13:22:00,"peak_photo","Day4",8.5,276,1911.8,332.7,1579.1,1.54,187,"Deriv_91",51.1,307,81,80.911,448,NA,NA,1,"CINAR_BC_91","31-Mar-22","CINAR_81",83.71015121,7.527344465,1,"USVI 2021","Temporal",307,"Yawzi","1/25/2021",13:22:00,"peak_photo",19407,63343,1169,644000,2021-01-25 13:22:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_peak_photo",0.000725573909632558
"23","3'AMP","CINAR_BC_96","mtab_CINAR_BC_lumos_032822_99","mtab_CINAR_BC_lumos_032822_212","64","21",3,"Yawzi","YZ","coral",2021-01-25,13:22:00,"peak_photo","Day4",8.5,285,1897,332.6,1564.4,1.53,179,"Deriv_96",53.1,310,82,80.911,448,NA,NA,1,"CINAR_BC_96","31-Mar-22","CINAR_82",128.2528957,15.20220128,1,"USVI 2021","Temporal",310,"Yawzi","1/25/2021",13:22:00,"peak_photo",17109,61019,1576,637000,2021-01-25 13:22:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_peak_photo",0.000725573909632558
"24","3'AMP","CINAR_BC_118","mtab_CINAR_BC_lumos_032822_61","mtab_CINAR_BC_lumos_032822_174","71","23",3,"Yawzi","YZ","coral",2021-01-26,13:28:00,"peak_photo","Day5",8.8,323,1993.2,329.1,1664.1,1.62,202,"Deriv_118",56.4,348,105,81.09,464,NA,NA,1,"CINAR_BC_118","31-Mar-22","CINAR_105",91.76575394,7.320827176,1,"USVI 2021","Temporal",348,"Yawzi","1/26/2021",13:28:00,"peak_photo",21902,61465,1536,660000,2021-01-26 13:28:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_peak_photo",0.000725573909632558
"25","3'AMP","CINAR_BC_63","mtab_CINAR_BC_lumos_032822_96","mtab_CINAR_BC_lumos_032822_209","12","4",3,"LB_seagrass","SG","seagrass",2021-01-24,06:42:00,"dawn","Day3",3.4,281,1959.3,331.6,1627.7,1.59,160,"Deriv_63",56.2,245,58,80.206,0,NA,NA,1,"CINAR_BC_63","31-Mar-22","CINAR_58",86.96793172,9.693668684,1,"USVI 2021","Temporal",245,"LB_seagrass","1/24/2021",06:42:00,"dawn",4556,30871,2311,534000,2021-01-24 06:42:00,0.114042273,0.005030561,0.015244124,FALSE,FALSE,"LB_seagrass_dawn",0.155803977642356
"26","3'AMP","CINAR_BC_93","mtab_CINAR_BC_lumos_032822_38","mtab_CINAR_BC_lumos_032822_151","39","13",3,"Tektite","TK","coral",2021-01-25,13:00:00,"peak_photo","Day4",9.1,261,1830.5,332.2,1498.3,1.46,180,"Deriv_93, Deriv_94, Deriv_92*",NA,301,79,81.266,960,NA,NA,1,"CINAR_BC_93","2-Apr-22","CINAR_79",91.65791275,8.384126249,1,"USVI 2021","Temporal",301,"Tektite","1/25/2021",13:00:00,"peak_photo",20418,51972,1182,601000,2021-01-25 13:00:00,0.005401191,0.005030561,0.015244124,TRUE,FALSE,"Tektite_peak_photo",0.00777130316598522
"27","3'AMP","CINAR_BC_97","mtab_CINAR_BC_lumos_032822_113","mtab_CINAR_BC_lumos_032822_226","65","21",3,"Yawzi","YZ","coral",2021-01-25,13:22:00,"peak_photo","Day4",8.5,267,2067.7,332.9,1734.8,1.69,186,"Deriv_97",55,291,83,80.911,448,NA,NA,1,"CINAR_BC_97","31-Mar-22","CINAR_83",83.96188879,6.031147777,1,"USVI 2021","Temporal",291,"Yawzi","1/25/2021",13:22:00,"peak_photo",19224,60231,1326,630000,2021-01-25 13:22:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_peak_photo",0.000725573909632558
"28","3'AMP","CINAR_BC_84","mtab_CINAR_BC_lumos_032822_24","mtab_CINAR_BC_lumos_032822_137","43","14",3,"Tektite","TK","coral",2021-01-25,06:03:00,"dawn","Day4",9.6,316,2187.8,333,1854.8,1.81,178,"Deriv_84",53.8,305,71,80.382,0,"cane5",NA,1,"CINAR_BC_84","2-Apr-22","CINAR_71",79.41413114,5.822261663,1,"USVI 2021","Temporal",305,"Tektite","1/25/2021",06:03:00,"dawn",29715,56594,1458,530000,2021-01-25 06:03:00,0.009810502,0.005030561,0.015244124,TRUE,FALSE,"Tektite_dawn",0.0140845865663551
"29","3'AMP","CINAR_BC_53","mtab_CINAR_BC_lumos_032822_77","mtab_CINAR_BC_lumos_032822_190","60","20",3,"Yawzi","YZ","coral",2021-01-24,06:26:00,"dawn","Day3",8.8,284,1979.3,331.4,1647.9,1.61,154,"Deriv_53",54.6,246,50,80.382,0,NA,NA,1,"CINAR_BC_53","1-Apr-22","CINAR_50",87.21707241,9.54714419,1,"USVI 2021","Temporal",246,"Yawzi","1/24/2021",06:26:00,"dawn",27207,74924,1668,657000,2021-01-24 06:26:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_dawn",0.000725573909632558
"30","3'AMP","CINAR_BC_82","mtab_CINAR_BC_lumos_032822_81","mtab_CINAR_BC_lumos_032822_194","67","22",3,"Yawzi","YZ","coral",2021-01-25,06:29:00,"dawn","Day4",8.4,331,1955.1,332.2,1622.9,1.58,176,"Deriv_82",53.7,349,72,80.206,0,"cane5",NA,1,"CINAR_BC_82","2-Apr-22","CINAR_72",84.56406298,10.79896208,1,"USVI 2021","Temporal",349,"Yawzi","1/25/2021",06:29:00,"dawn",23570,63684,1471,609000,2021-01-25 06:29:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_dawn",0.000725573909632558
