pair1	pair2	t	p.value	boot.p.value	q05	q10
LB_seagrass.Day4	Yawzi.Day3	1.5961690553618968	0.1241576440547242	0.1241576440547242	0.08715431429436539	0.15421647679831418
LB_seagrass.Day4	Yawzi.Day4	0.9761713003951674	0.33772878526934036	0.33772878526934036	0.09838496520891296	0.1730738987169744
LB_seagrass.Day4	Yawzi.Day5	1.5930844640408095	0.12361269933454597	0.12361269933454597	0.0932878589904939	0.15695332376310328
LB_seagrass.Day5	Tektite.Day2	0.5391793403874331	0.5946130056201191	0.5946130056201191	0.12073648864017644	0.18578401172662834
LB_seagrass.Day5	Tektite.Day3	2.644602418869531	0.01687779502258729	0.01687779502258729	0.08233289193803718	0.13724996795034025
LB_seagrass.Day5	Tektite.Day4	2.034559442643374	0.055275232017281156	0.055275232017281156	0.10156731768248366	0.16028723030870143
LB_seagrass.Day5	Tektite.Day5	2.4810941463109257	0.022678269880966516	0.022678269880966516	0.07522142793948562	0.1322537602181884
LB_seagrass.Day5	Yawzi.Day2	0.9583881156732698	0.34650383279275154	0.34650383279275154	0.11386700415145752	0.18622884931655648
LB_seagrass.Day5	Yawzi.Day3	2.2827682585150715	0.033370013609424445	0.033370013609424445	0.07250482364264083	0.13443976053420306
LB_seagrass.Day5	Yawzi.Day4	1.7131167643544103	0.09955466846802231	0.09955466846802231	0.08421314949643106	0.1543540900106905
LB_seagrass.Day5	Yawzi.Day5	2.26529514191343	0.03353965282980256	0.03353965282980256	0.07399550953152347	0.1402468282912679
Tektite.Day2	Tektite.Day3	2.8294544764245346	0.010107352572227411	0.010107352572227411	0.07841174507948322	0.11437232956007445
Tektite.Day2	Tektite.Day4	1.9370016614151186	0.06399998437558548	0.06399998437558548	0.09246810630991643	0.1466522553301958
Tektite.Day2	Tektite.Day5	2.561215665409427	0.017270724652112296	0.017270724652112296	0.06844535527762291	0.11126111456748028
Tektite.Day2	Yawzi.Day2	0.5488272169386309	0.587578202784381	0.587578202784381	0.09775605090377279	0.15462572789210316
Tektite.Day2	Yawzi.Day3	2.266896026260413	0.032148047397872616	0.032148047397872616	0.07149101380130181	0.1166931276238565
Tektite.Day2	Yawzi.Day4	1.4847415273978224	0.14880046662097313	0.14880046662097313	0.07529195062499999	0.12151693655865457
Tektite.Day2	Yawzi.Day5	2.2117787122508457	0.03554254854378183	0.03554254854378183	0.06738854426054011	0.11004766451587904
Tektite.Day3	Tektite.Day4	-0.9125471832448437	0.3700769280449109	0.3700769280449109	0.09894385855083541	0.1711063995681304
Tektite.Day3	Tektite.Day5	-0.18387561351152518	0.8554939389626226	0.8554939389626226	0.09519027417476802	0.18049831100105665
Tektite.Day3	Yawzi.Day2	-1.8273685252035674	0.08330074934641607	0.08330074934641607	0.11073293267494845	0.17839613416978836
Tektite.Day3	Yawzi.Day3	-0.4340098258683065	0.6679741790829179	0.6679741790829179	0.06980115416890491	0.1522707543392635
Tektite.Day3	Yawzi.Day4	-1.0229289501834298	0.3178457743379481	0.3178457743379481	0.10329520957066514	0.18340589455946443
Tektite.Day3	Yawzi.Day5	-0.2773523921075354	0.7839962562892497	0.7839962562892497	0.0849216303522303	0.17219139613489368
Tektite.Day4	Tektite.Day5	0.6836946707530379	0.49987047105187954	0.49987047105187954	0.10087675579902657	0.16386682544086048
Tektite.Day4	Yawzi.Day2	-1.119749548801929	0.27432483940257407	0.27432483940257407	0.11359126426062224	0.18035231655392542
Tektite.Day4	Yawzi.Day3	0.4108422482207597	0.6843159355099813	0.6843159355099813	0.08152560996279945	0.15759905000489174
Tektite.Day4	Yawzi.Day4	-0.26398611663322835	0.7938900905095233	0.7938900905095233	0.10219116746501238	0.16642437523079723
Tektite.Day4	Yawzi.Day5	0.47296722596496327	0.6400139187464853	0.6400139187464853	0.0946220357736651	0.171189172063609
Tektite.Day5	Yawzi.Day2	-1.6429604340797257	0.11495420760718104	0.11495420760718104	0.10758897934300034	0.18634209107930316
Tektite.Day5	Yawzi.Day3	-0.24445680540110273	0.8086910528387539	0.8086910528387539	0.08435438752305933	0.20431582731508605
Tektite.Day5	Yawzi.Day4	-0.8391759837900328	0.40961422266419334	0.40961422266419334	0.11011485935052757	0.21709104789973852
Tektite.Day5	Yawzi.Day5	-0.11891150869402013	0.9062657187843594	0.9062657187843594	0.09740061795234536	0.1837184391769025
Yawzi.Day2	Yawzi.Day3	1.418965446778783	0.16916867831659782	0.16916867831659782	0.10087374341369487	0.1714830284831817
Yawzi.Day2	Yawzi.Day4	0.8031928133812279	0.4288768991031836	0.4288768991031836	0.11269610166906911	0.19919183629173015
Yawzi.Day2	Yawzi.Day5	1.4232091706961996	0.16677839984758833	0.16677839984758833	0.09653687293529895	0.16246885624647106
Yawzi.Day3	Yawzi.Day4	-0.608707673612643	0.5480172610667611	0.5480172610667611	0.10265407822169616	0.22018130988812543
Yawzi.Day3	Yawzi.Day5	0.09711042783161122	0.9233489030634213	0.9233489030634213	0.0925172772685557	0.20765761276174705
Yawzi.Day4	Yawzi.Day5	0.6542573449232104	0.5183683179066468	0.5183683179066468	0.11855858496495038	0.19721576822933132
