label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
ASV_00003	-0.6902934930737782	-0.04322199648990574	species	NA	NA	NA	NA	NA	NA	NA
ASV_00004	-0.08263272674160746	0.09220200101865021	species	NA	NA	NA	NA	NA	NA	NA
ASV_00005	0.5510165744128966	0.031396245205361724	species	NA	NA	NA	NA	NA	NA	NA
ASV_00006	-0.5253678574739262	-0.0012938380404555595	species	NA	NA	NA	NA	NA	NA	NA
ASV_00007	0.6796356805480314	0.00810867716649538	species	NA	NA	NA	NA	NA	NA	NA
ASV_00008	0.48384231248375037	0.011123622435460013	species	NA	NA	NA	NA	NA	NA	NA
ASV_00009	-0.5178019236949954	0.012407876587146958	species	NA	NA	NA	NA	NA	NA	NA
ASV_00010	0.5586648753877519	0.042976727223961654	species	NA	NA	NA	NA	NA	NA	NA
ASV_00011	0.4818216525387034	0.01739009751671913	species	NA	NA	NA	NA	NA	NA	NA
ASV_00012	0.5079396320056583	0.05140607716926608	species	NA	NA	NA	NA	NA	NA	NA
ASV_00013	0.41159499133446364	0.06940131404063386	species	NA	NA	NA	NA	NA	NA	NA
ASV_00014	0.2973454730799859	0.09107887029706212	species	NA	NA	NA	NA	NA	NA	NA
ASV_00015	0.4240329417216863	-0.032149878412434114	species	NA	NA	NA	NA	NA	NA	NA
ASV_00016	0.46507363928257645	0.08586017097234852	species	NA	NA	NA	NA	NA	NA	NA
ASV_00017	0.4916056571081148	-0.0043254268341943	species	NA	NA	NA	NA	NA	NA	NA
ASV_00018	0.5107754854173043	0.056541862920312255	species	NA	NA	NA	NA	NA	NA	NA
ASV_00019	0.03507214367922358	0.11458815924394347	species	NA	NA	NA	NA	NA	NA	NA
ASV_00020	0.46600901257314664	0.03416910078313839	species	NA	NA	NA	NA	NA	NA	NA
ASV_00021	0.3986883036209998	0.025007103715312572	species	NA	NA	NA	NA	NA	NA	NA
ASV_00022	-0.1732695802077973	0.14093026221355462	species	NA	NA	NA	NA	NA	NA	NA
ASV_00023	0.5596593618271423	0.047797507786461677	species	NA	NA	NA	NA	NA	NA	NA
ASV_00024	-0.6422821598315217	-0.028046450057492286	species	NA	NA	NA	NA	NA	NA	NA
ASV_00025	-0.2928646377487369	0.121332603586948	species	NA	NA	NA	NA	NA	NA	NA
ASV_00026	0.6371715175509586	0.02702861505057687	species	NA	NA	NA	NA	NA	NA	NA
ASV_00027	-0.13689446824986592	0.09215108343537887	species	NA	NA	NA	NA	NA	NA	NA
ASV_00028	-0.5705371518767621	0.32519608278484324	species	NA	NA	NA	NA	NA	NA	NA
ASV_00029	0.5324967749682147	0.025312654649684904	species	NA	NA	NA	NA	NA	NA	NA
ASV_00030	-0.039215593037735315	0.14488801967870588	species	NA	NA	NA	NA	NA	NA	NA
ASV_00031	0.5343171746039881	0.04432267381865164	species	NA	NA	NA	NA	NA	NA	NA
