Source,Target,Type,Weight,estimate
44,330,Undirected,0.5871774062995926,0.5871774062995926
45,347,Undirected,0.5450640372530853,0.5450640372530853
46,332,Undirected,0.5788141324390349,0.5788141324390349
47,334,Undirected,0.5872050715343244,0.5872050715343244
47,333,Undirected,0.715703036679449,0.715703036679449
48,329,Undirected,0.5655378528039237,0.5655378528039237
48,333,Undirected,0.6062648267068498,0.6062648267068498
49,327,Undirected,0.5545021050028768,0.5545021050028768
49,333,Undirected,0.6382105958542726,0.6382105958542726
50,358,Undirected,0.5968379446640316,0.5968379446640316
51,328,Undirected,0.5573122529644269,0.5573122529644269
51,347,Undirected,0.6067193675889329,0.6067193675889329
51,359,Undirected,0.5523715415019763,0.5523715415019763
51,341,Undirected,0.6307171089779787,0.6307171089779787
51,340,Undirected,0.5464426877470355,0.5464426877470355
51,333,Undirected,0.6274703557312253,0.6274703557312253
51,332,Undirected,0.7134387351778656,0.7134387351778656
52,360,Undirected,0.7692307692307693,-0.7692307692307693
53,328,Undirected,0.7107500744878957,0.7107500744878957
53,329,Undirected,0.728085442158332,0.728085442158332
53,330,Undirected,0.649333343312635,0.649333343312635
53,338,Undirected,0.5393775826601521,0.5393775826601521
53,357,Undirected,0.9428571428571428,-0.9428571428571428
53,340,Undirected,0.6324932718613538,0.6324932718613538
53,333,Undirected,0.581477761288355,0.581477761288355
53,332,Undirected,0.5745436142201804,0.5745436142201804
54,328,Undirected,0.7002970784756647,0.7002970784756647
54,329,Undirected,0.881306069098612,0.881306069098612
54,330,Undirected,0.782394052364761,0.782394052364761
54,338,Undirected,0.6765581944595405,0.6765581944595405
54,331,Undirected,0.5450052122035188,0.5450052122035188
54,333,Undirected,0.6765581944595405,0.6765581944595405
54,332,Undirected,0.5410487315341647,0.5410487315341647
55,329,Undirected,0.6116600790513834,0.6116600790513834
55,333,Undirected,0.6254940711462451,0.6254940711462451
56,329,Undirected,0.5654370378247076,0.5654370378247076
56,338,Undirected,0.6744492234954169,0.6744492234954169
56,333,Undirected,0.6377722264473278,0.6377722264473278
57,361,Undirected,0.5704737893049021,0.5704737893049021
58,338,Undirected,0.5499508130402113,0.5499508130402113
58,333,Undirected,0.6498519499414007,0.6498519499414007
59,345,Undirected,0.65085593289003,0.65085593289003
60,333,Undirected,0.5674746487718236,0.5674746487718236
61,333,Undirected,0.567193675889328,0.567193675889328
62,328,Undirected,0.5651975033899822,0.5651975033899822
62,331,Undirected,0.6489304668551648,0.6489304668551648
62,332,Undirected,0.5568242070434639,0.5568242070434639
62,342,Undirected,0.6122972953391473,0.6122972953391473
63,328,Undirected,0.7185075734702442,0.7185075734702442
63,329,Undirected,0.7285285995995362,0.7285285995995362
63,330,Undirected,0.5371270005300569,0.5371270005300569
63,338,Undirected,0.5251017691749064,0.5251017691749064
63,331,Undirected,0.547148026659349,0.547148026659349
63,340,Undirected,0.5902384390153051,0.5902384390153051
63,333,Undirected,0.7144991630185272,0.7144991630185272
63,332,Undirected,0.6152910043385353,0.6152910043385353
64,351,Undirected,0.7067790375855405,-0.7067790375855405
65,359,Undirected,0.5642292490118577,-0.5642292490118577
66,347,Undirected,0.5372056415532607,-0.5372056415532607
66,341,Undirected,0.7194131039146608,-0.7194131039146608
66,332,Undirected,0.5627868625796065,-0.5627868625796065
67,346,Undirected,0.599802371541502,-0.599802371541502
68,334,Undirected,0.5505364201016376,0.5505364201016376
68,333,Undirected,0.741106719367589,0.741106719367589
69,334,Undirected,0.5403726708074535,0.5403726708074535
69,333,Undirected,0.6907114624505929,0.6907114624505929
