Source,Target,Type,Weight
105,113,Undirected,0.32587698573948587
105,119,Undirected,0.2250741010610452
105,121,Undirected,0.34746770279745076
105,125,Undirected,0.30937254445550944
105,138,Undirected,0.3094104178299236
105,129,Undirected,0.26772354269278387
105,130,Undirected,0.33745282721534253
105,147,Undirected,0.2851931802063057
106,113,Undirected,0.32628132506640595
106,132,Undirected,0.31166292589876365
106,130,Undirected,0.357078665349324
107,110,Undirected,0.3241646819478754
107,114,Undirected,0.284874813201504
107,130,Undirected,0.4447545836682969
108,142,Undirected,0.5396999447180468
108,116,Undirected,0.39969180192195763
109,143,Undirected,0.4847707790975523
110,125,Undirected,0.381706790589035
110,143,Undirected,0.3963200101491928
111,142,Undirected,0.4880804489985424
111,116,Undirected,0.299966973220281
111,118,Undirected,0.23896490394284797
112,117,Undirected,0.27717282738429305
112,120,Undirected,0.2774574255077915
112,147,Undirected,0.1566359222258068
113,130,Undirected,0.5140449109202447
114,119,Undirected,0.4416289247407854
114,138,Undirected,0.23971117506068063
114,129,Undirected,0.35791630266826613
114,130,Undirected,0.28511220395419834
114,147,Undirected,0.3119131810976369
115,149,Undirected,0.28137118747949974
116,117,Undirected,0.2361248837804828
116,128,Undirected,0.27662735428136476
116,132,Undirected,0.3035948912678853
117,119,Undirected,0.608772709010369
117,120,Undirected,0.33395984144829205
117,149,Undirected,0.5297682365912855
117,147,Undirected,0.39915862443833117
118,141,Undirected,0.5407720034379073
119,124,Undirected,0.3072264106644701
119,149,Undirected,0.32230212222879595
119,127,Undirected,0.14208341321427542
119,132,Undirected,0.24105325709413572
119,130,Undirected,0.22924343309151007
120,145,Undirected,0.31707717719235284
120,129,Undirected,0.4329671578975671
121,124,Undirected,0.26880575300843323
121,128,Undirected,0.2630764698663838
122,126,Undirected,0.4640304297170045
122,143,Undirected,0.4374539054030361
123,144,Undirected,0.4319872937410455
123,130,Undirected,0.30844749399438953
124,127,Undirected,0.2554904158496415
124,128,Undirected,0.4268793340020929
124,129,Undirected,0.5132139668768001
125,143,Undirected,0.2947964041386164
125,144,Undirected,0.4923884400449302
126,143,Undirected,0.303238379798745
126,141,Undirected,0.2982518918759923
127,132,Undirected,0.293885017697155
128,129,Undirected,0.4217704613294002
129,147,Undirected,0.46226521806765075
130,147,Undirected,0.2765942320336864
