label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
ASV_00029	0.21326509422391862	0.009635115590608076	species	NA	NA	NA	NA	NA	NA	NA
ASV_00030	-0.11130562911721935	-0.02949033034778495	species	NA	NA	NA	NA	NA	NA	NA
ASV_00031	0.21701299414760783	-0.0020680993625896696	species	NA	NA	NA	NA	NA	NA	NA
ASV_00032	-0.2760297860373861	0.016743045113867677	species	NA	NA	NA	NA	NA	NA	NA
ASV_00034	-0.09464710563584125	-0.018763224776063556	species	NA	NA	NA	NA	NA	NA	NA
ASV_00035	0.3040491357769013	0.023122885033934348	species	NA	NA	NA	NA	NA	NA	NA
ASV_00036	-0.16190703087286917	0.010504891569603558	species	NA	NA	NA	NA	NA	NA	NA
ASV_00037	0.19272478975509383	0.01832493687881852	species	NA	NA	NA	NA	NA	NA	NA
ASV_00038	-0.38303647740738617	0.007485475158768066	species	NA	NA	NA	NA	NA	NA	NA
ASV_00039	0.152213993896758	0.008224439476076616	species	NA	NA	NA	NA	NA	NA	NA
ASV_00040	-0.05796836661878997	-0.01592568231514769	species	NA	NA	NA	NA	NA	NA	NA
ASV_00041	0.14035601914656778	0.017638083850437834	species	NA	NA	NA	NA	NA	NA	NA
ASV_00043	-0.20392566727748868	0.013556041528821304	species	NA	NA	NA	NA	NA	NA	NA
ASV_00044	0.16507176752935904	0.024330234531082878	species	NA	NA	NA	NA	NA	NA	NA
ASV_00045	-0.38798426559491944	-0.00563517001183304	species	NA	NA	NA	NA	NA	NA	NA
ASV_00046	0.2845404953066953	8.665454501598502e-4	species	NA	NA	NA	NA	NA	NA	NA
ASV_00047	-0.42236001687933145	-0.013549684769282366	species	NA	NA	NA	NA	NA	NA	NA
ASV_00048	-0.2960803136481514	0.02007993315206006	species	NA	NA	NA	NA	NA	NA	NA
ASV_00049	0.2616900105789509	8.348616327988514e-4	species	NA	NA	NA	NA	NA	NA	NA
ASV_00050	0.19610713534694443	-0.020163541723841834	species	NA	NA	NA	NA	NA	NA	NA
ASV_00051	-0.08620123545515043	-0.6147115802097174	species	NA	NA	NA	NA	NA	NA	NA
ASV_00052	0.134707203328138	0.036771303961660166	species	NA	NA	NA	NA	NA	NA	NA
ASV_00053	0.11454424217402921	0.011508476280051989	species	NA	NA	NA	NA	NA	NA	NA
