cluster,Source,Target,Type,Weight
reefs,14,54,Undirected,0.4098502879510155
reefs,15,40,Undirected,0.3577678886784599
reefs,15,52,Undirected,0.30674865786327654
reefs,15,67,Undirected,0.3276064590200962
reefs,15,76,Undirected,0.32992954601774394
reefs,15,135,Undirected,0.32844076316570237
reefs,16,136,Undirected,0.3162750856667542
reefs,16,23,Undirected,0.3686893103918908
reefs,16,28,Undirected,0.31218021625339
reefs,16,79,Undirected,0.2763290680304624
reefs,16,138,Undirected,0.28920577554314286
reefs,17,31,Undirected,0.3405749486871843
reefs,17,47,Undirected,0.2976799530070189
reefs,17,61,Undirected,0.27524713471610207
reefs,17,63,Undirected,0.29516301052913485
reefs,18,25,Undirected,0.2974710944398695
reefs,18,34,Undirected,0.3046459141835801
reefs,18,36,Undirected,0.31965897998572923
reefs,18,46,Undirected,0.2827373891683199
reefs,18,52,Undirected,0.3098503785600204
reefs,18,75,Undirected,0.2708888765596601
reefs,19,21,Undirected,0.41289985622003456
reefs,19,28,Undirected,0.2643299605156234
reefs,19,74,Undirected,0.43688423767915596
reefs,20,24,Undirected,0.29239435433387106
reefs,20,27,Undirected,0.2771212632988701
reefs,20,75,Undirected,0.29210677068546775
reefs,20,77,Undirected,0.2895146055765371
reefs,20,133,Undirected,0.2701711437743507
reefs,21,30,Undirected,0.30158971763106035
reefs,21,66,Undirected,0.29269379448243904
reefs,21,70,Undirected,0.32730718332464803
reefs,21,82,Undirected,0.2864389853138476
reefs,22,24,Undirected,0.33763883022297214
reefs,22,32,Undirected,0.31184679546315586
reefs,22,44,Undirected,0.31178502940696207
reefs,22,50,Undirected,0.3176281680798636
reefs,23,53,Undirected,0.4561204358027138
reefs,23,65,Undirected,0.30495671486110787
reefs,24,32,Undirected,0.2985827493970201
reefs,24,44,Undirected,0.3997832970544616
reefs,25,50,Undirected,0.2856896722564234
reefs,25,66,Undirected,0.27741101913328436
reefs,25,133,Undirected,0.28270909888357754
reefs,26,33,Undirected,0.34059628621245697
reefs,26,40,Undirected,0.3214098618209038
reefs,26,54,Undirected,0.33636572610696314
reefs,26,137,Undirected,0.34348639592684704
reefs,26,62,Undirected,0.31099868101384187
reefs,27,46,Undirected,0.37649476893589096
reefs,27,50,Undirected,0.3391575096744567
reefs,27,56,Undirected,0.29476389989893437
reefs,27,64,Undirected,0.29687529903998233
reefs,27,68,Undirected,0.3901514837707133
reefs,27,81,Undirected,0.333277069704777
reefs,27,90,Undirected,0.34200106739507075
reefs,27,133,Undirected,0.3253641412123408
reefs,28,86,Undirected,0.2857570112440504
reefs,29,45,Undirected,0.36082023969594834
reefs,29,56,Undirected,0.3308393661517435
reefs,29,63,Undirected,0.29516800226383366
reefs,29,139,Undirected,0.31468491787668595
reefs,30,140,Undirected,0.39697904624194047
reefs,30,65,Undirected,0.28379851074198736
reefs,30,82,Undirected,0.2519246781724106
reefs,31,43,Undirected,0.284885304736165
reefs,31,47,Undirected,0.3535570803073308
reefs,31,51,Undirected,0.3039211655924279
reefs,31,63,Undirected,0.3025401311274224
reefs,32,44,Undirected,0.3082897576256889
reefs,32,141,Undirected,0.3020510851795629
reefs,33,49,Undirected,0.3189682122200813
reefs,33,62,Undirected,0.3135333105057425
reefs,33,72,Undirected,0.3235970337220637
reefs,34,37,Undirected,0.3437514868509264
reefs,34,43,Undirected,0.30841644560147585
reefs,34,52,Undirected,0.46713823124295417
reefs,34,61,Undirected,0.296085748978576
reefs,34,71,Undirected,0.3115416803504769
reefs,34,115,Undirected,0.2977473192089082
reefs,35,44,Undirected,0.3263692973354221
reefs,35,141,Undirected,0.29598960937821783
reefs,36,37,Undirected,0.29384894312337984
reefs,36,52,Undirected,0.2961917001061245
reefs,36,64,Undirected,0.3051122984336535
