variable	num_corrs	type
ASV_00684	1	asv_id
ASV_00691	3	asv_id
ASV_00696	1	asv_id
ASV_00709	1	asv_id
ASV_00711	2	asv_id
ASV_00712	1	asv_id
ASV_00713	3	asv_id
ASV_00719	1	asv_id
ASV_00722	4	asv_id
ASV_00735	2	asv_id
ASV_00751	13	asv_id
ASV_00756	1	asv_id
ASV_00758	1	asv_id
ASV_00759	5	asv_id
ASV_00762	1	asv_id
ASV_00776	2	asv_id
ASV_00777	1	asv_id
ASV_00781	5	asv_id
ASV_00783	4	asv_id
ASV_00787	4	asv_id
ASV_00795	1	asv_id
ASV_00801	4	asv_id
ASV_00829	1	asv_id
ASV_00838	2	asv_id
ASV_00847	1	asv_id
ASV_00851	1	asv_id
ASV_00853	1	asv_id
ASV_00859	1	asv_id
ASV_00882	4	asv_id
ASV_00884	1	asv_id
ASV_00908	1	asv_id
ASV_00933	1	asv_id
ASV_00955	2	asv_id
ASV_00962	1	asv_id
ASV_00967	1	asv_id
ASV_00975	2	asv_id
ASV_00984	1	asv_id
ASV_00996	1	asv_id
ASV_01009	2	asv_id
ASV_01017	1	asv_id
ASV_01018	1	asv_id
ASV_01031	1	asv_id
ASV_01034	2	asv_id
ASV_01056	1	asv_id
ASV_01068	2	asv_id
ASV_01107	6	asv_id
ASV_01113	3	asv_id
ASV_01134	1	asv_id
ASV_01146	1	asv_id
ASV_01199	1	asv_id
ASV_01203	4	asv_id
ASV_01212	2	asv_id
ASV_01221	2	asv_id
ASV_01225	2	asv_id
ASV_01256	1	asv_id
ASV_01257	1	asv_id
ASV_01258	1	asv_id
ASV_01275	2	asv_id
ASV_01294	1	asv_id
ASV_01298	2	asv_id
ASV_01321	4	asv_id
ASV_01365	1	asv_id
ASV_01387	1	asv_id
ASV_01399	2	asv_id
ASV_01430	1	asv_id
ASV_01519	1	asv_id
ASV_01527	1	asv_id
ASV_01565	1	asv_id
ASV_01571	3	asv_id
ASV_01584	3	asv_id
ASV_01593	2	asv_id
ASV_01681	1	asv_id
ASV_01741	1	asv_id
ASV_01767	1	asv_id
ASV_01822	1	asv_id
ASV_01861	1	asv_id
ASV_01874	11	asv_id
ASV_01891	1	asv_id
ASV_01939	1	asv_id
ASV_02020	1	asv_id
ASV_02052	1	asv_id
ASV_02055	2	asv_id
ASV_02115	1	asv_id
ASV_02145	10	asv_id
ASV_02151	1	asv_id
ASV_02202	1	asv_id
ASV_02289	5	asv_id
ASV_02436	3	asv_id
ASV_02678	3	asv_id
ASV_02764	6	asv_id
ASV_02893	1	asv_id
ASV_03116	3	asv_id
ASV_00118	2	asv_id
ASV_00172	1	asv_id
ASV_00197	2	asv_id
ASV_00205	1	asv_id
ASV_00241	3	asv_id
ASV_00253	1	asv_id
ASV_00263	2	asv_id
ASV_00287	1	asv_id
ASV_00290	3	asv_id
ASV_00298	1	asv_id
ASV_00332	1	asv_id
ASV_00343	1	asv_id
ASV_00344	3	asv_id
ASV_00368	1	asv_id
ASV_00375	2	asv_id
ASV_00381	3	asv_id
ASV_00406	3	asv_id
ASV_00413	2	asv_id
ASV_00435	3	asv_id
ASV_00441	1	asv_id
ASV_00453	2	asv_id
ASV_00454	1	asv_id
ASV_00457	2	asv_id
ASV_00471	2	asv_id
ASV_00491	1	asv_id
ASV_00551	4	asv_id
ASV_00553	1	asv_id
ASV_00575	3	asv_id
ASV_00579	1	asv_id
ASV_00632	1	asv_id
ASV_00642	1	asv_id
ASV_00645	1	asv_id
ASV_00649	7	asv_id
ASV_00660	1	asv_id
ASV_00667	1	asv_id
ASV_00677	1	asv_id
ASV_00690	1	asv_id
ASV_00694	1	asv_id
ASV_00718	1	asv_id
ASV_00732	1	asv_id
ASV_00734	1	asv_id
ASV_00736	1	asv_id
ASV_00763	2	asv_id
ASV_00770	2	asv_id
ASV_00816	1	asv_id
ASV_00821	7	asv_id
ASV_00822	3	asv_id
ASV_00849	1	asv_id
ASV_00852	3	asv_id
ASV_00938	2	asv_id
ASV_00940	1	asv_id
ASV_00945	2	asv_id
ASV_00946	1	asv_id
ASV_00965	1	asv_id
ASV_00966	2	asv_id
ASV_00969	1	asv_id
ASV_00973	2	asv_id
ASV_01033	1	asv_id
ASV_01047	2	asv_id
ASV_01138	1	asv_id
ASV_01161	1	asv_id
ASV_01165	1	asv_id
ASV_01189	1	asv_id
ASV_01207	1	asv_id
ASV_01223	1	asv_id
ASV_01293	3	asv_id
ASV_01297	15	asv_id
ASV_01323	1	asv_id
ASV_01325	1	asv_id
ASV_01344	1	asv_id
ASV_01361	1	asv_id
ASV_01434	1	asv_id
ASV_01496	1	asv_id
ASV_01623	1	asv_id
ASV_01630	1	asv_id
ASV_01694	2	asv_id
ASV_01699	1	asv_id
ASV_01931	2	asv_id
ASV_01945	1	asv_id
ASV_01992	2	asv_id
ASV_02053	1	asv_id
ASV_02182	1	asv_id
ASV_02253	1	asv_id
ASV_02389	11	asv_id
ASV_02912	1	asv_id
ASV_00217	2	asv_id
ASV_00333	1	asv_id
ASV_00651	1	asv_id
ASV_00788	1	asv_id
ASV_00825	4	asv_id
ASV_00869	7	asv_id
ASV_01054	1	asv_id
ASV_01123	3	asv_id
ASV_01128	1	asv_id
ASV_01285	1	asv_id
ASV_01400	1	asv_id
ASV_01622	6	asv_id
ASV_01642	1	asv_id
ASV_01792	1	asv_id
ASV_01823	1	asv_id
ASV_02137	1	asv_id
ASV_02152	1	asv_id
ASV_03625	2	asv_id
3'AMP	15	simpleName
5'AMP	27	simpleName
5'UMP	26	simpleName
alanine	27	simpleName
arginine	63	simpleName
asparagine	31	simpleName
aspartate	20	simpleName
ciliatine	141	simpleName
citrulline	12	simpleName
cysteate	100	simpleName
cysteine 2	41	simpleName
DHPS	17	simpleName
GABA	80	simpleName
glutamic acid	13	simpleName
glutamine	10	simpleName
glutathione 2	29	simpleName
glycine	75	simpleName
guanosine	28	simpleName
histidine	22	simpleName
homoserine betaine	96	simpleName
isethionate	39	simpleName
isoleucine	15	simpleName
kynurenine	81	simpleName
leucine	18	simpleName
lysine 2	28	simpleName
malic acid	15	simpleName
methionine	11	simpleName
ornithine 2	17	simpleName
pantothenic acid	216	simpleName
phenylalanine	37	simpleName
proline	17	simpleName
putrescine 2	51	simpleName
sarcosine	19	simpleName
serine	23	simpleName
sn-glycerol 3-phosphate	45	simpleName
spermidine 3	20	simpleName
taurine	63	simpleName
threonine	25	simpleName
tryptamine	9	simpleName
tryptophan	31	simpleName
uridine	30	simpleName
valine	21	simpleName
