contrast	asv_id	estimate	pval	group	site	commonid	test_type	model	sampling_time	Combo	baseline	baseMean	padj	log2FoldChange_MMSE	pair1	pair2	hold	variable	p_fdr
Yawzi - LB_seagrass_all	ASV_00003	40.84569905157655	1.647354095908647e-10	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00006	46.076877487726016	1.1370251128859065e-11	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00006	41.587917149243054	1.1268757874229103e-10	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00007	36.40716089081022	1.6011387586566252e-9	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00007	36.85527153584872	1.2723160925013683e-9	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00009	47.770677409109155	4.7910441060009406e-12	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00009	44.84106114970163	2.136941767962484e-11	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00017	39.81472279504873	2.7923229129781784e-10	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00017	36.07590217126653	1.8977928587151803e-9	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00023	43.5245137876794	4.1868161688051255e-11	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00023	42.86815190504232	5.85562232433811e-11	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00031	45.43939729142472	1.5743548788299865e-11	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00031	41.31890436573349	1.2931223878101996e-10	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00038	39.9465832183682	2.6100373050253466e-10	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00038	36.80660675761299	1.304474380463195e-9	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
