sample_id	site	sampling_day	sampling_time	sample_order	total_seqs
Metab_315	Tektite Reef	Day5	Dawn	14	95124
Metab_321	Tektite Reef	Day5	Dawn	15	101598
Metab_311	Tektite Reef	Day5	Peak photosynthesis	13	111975
Metab_314	Tektite Reef	Day5	Peak photosynthesis	14	95396
Metab_320	Tektite Reef	Day5	Peak photosynthesis	15	102606
Metab_185	Yawzi Reef	Day1	Dawn	1	118596
Metab_188	Yawzi Reef	Day1	Dawn	2	83051
Metab_238	Yawzi Reef	Day1	Dawn	3	87521
Metab_179	Yawzi Reef	Day1	Peak photosynthesis	1	98809
Metab_187	Yawzi Reef	Day1	Peak photosynthesis	2	64343
Metab_190	Yawzi Reef	Day1	Peak photosynthesis	3	108858
Metab_222	Yawzi Reef	Day2	Dawn	4	103175
Metab_225	Yawzi Reef	Day2	Dawn	5	101742
Metab_228	Yawzi Reef	Day2	Dawn	6	76140
Metab_186	Yawzi Reef	Day2	Peak photosynthesis	4	91193
Metab_230	Yawzi Reef	Day2	Peak photosynthesis	5	84984
Metab_239	Yawzi Reef	Day2	Peak photosynthesis	6	98698
Metab_284	Yawzi Reef	Day3	Dawn	7	97022
Metab_292	Yawzi Reef	Day3	Dawn	8	87134
Metab_295	Yawzi Reef	Day3	Dawn	9	88196
Metab_269	Yawzi Reef	Day3	Peak photosynthesis	7	114556
Metab_271	Yawzi Reef	Day3	Peak photosynthesis	8	94969
Metab_274	Yawzi Reef	Day3	Peak photosynthesis	9	98130
Metab_313	Yawzi Reef	Day4	Dawn	10	95428
Metab_325	Yawzi Reef	Day4	Dawn	11	76304
Metab_331	Yawzi Reef	Day4	Dawn	12	85483
Metab_267	Yawzi Reef	Day4	Peak photosynthesis	10	76054
Metab_276	Yawzi Reef	Day4	Peak photosynthesis	11	87938
Metab_285	Yawzi Reef	Day4	Peak photosynthesis	12	86160
Metab_303	Yawzi Reef	Day5	Dawn	13	75361
Metab_306	Yawzi Reef	Day5	Dawn	14	99489
Metab_327	Yawzi Reef	Day5	Dawn	15	86571
Metab_308	Yawzi Reef	Day5	Peak photosynthesis	13	96057
Metab_317	Yawzi Reef	Day5	Peak photosynthesis	14	95454
Metab_323	Yawzi Reef	Day5	Peak photosynthesis	15	96182
