pair1	pair2	t	p.value	q05	q10
LB_seagrass.Day5	Tektite.Day3	2.644602418869531	0.47393630964106015	0.08025065360237459	0.137336599686179
LB_seagrass.Day5	Tektite.Day4	2.034559442643374	0.49893195995575934	0.10291022540193619	0.1619332746764523
LB_seagrass.Day5	Tektite.Day5	2.4810941463109257	0.1796251074930056	0.07658158251826945	0.13859107393696943
LB_seagrass.Day5	Yawzi.Day2	0.9583881156732698	0.7791352986229857	0.11151867803025625	0.18740096742300438
LB_seagrass.Day5	Yawzi.Day3	2.2827682585150715	0.5208005065174414	0.06653658526691529	0.13188331809977993
LB_seagrass.Day5	Yawzi.Day4	1.7131167643544103	0.384179574319178	0.08816803525679089	0.15560686746057786
LB_seagrass.Day5	Yawzi.Day5	2.26529514191343	0.17482978252283224	0.07381628063708133	0.14288872577001782
Tektite.Day2	Tektite.Day3	2.8294544764245346	0.4238595495148502	0.07353935670147929	0.11058811699564383
Tektite.Day2	Tektite.Day4	1.9370016614151186	0.4488888630921539	0.09120367690360497	0.14687450409846622
Tektite.Day2	Tektite.Day5	2.561215665409427	0.938023079186177	0.06955685060765508	0.10966243902420356
Tektite.Day2	Yawzi.Day2	0.5488272169386309	0.6829483489691808	0.0934470755816273	0.15283239922202646
Tektite.Day2	Yawzi.Day3	2.266896026260413	0.4379566302176475	0.070761346311127	0.11146791108750022
Tektite.Day2	Yawzi.Day4	1.4847415273978224	0.5864055372137305	0.07567702926289487	0.12347131363648828
Tektite.Day2	Yawzi.Day5	2.2117787122508457	0.7191684109934495	0.07371019593351236	0.11712505998851108
Tektite.Day3	Tektite.Day4	-0.9125471832448437	0.4716383270488793	0.09870240720229674	0.17267200427520207
Tektite.Day3	Tektite.Day5	-0.18387561351152518	0.23108881215750515	0.09610385103232251	0.17972511656958545
Tektite.Day3	Yawzi.Day2	-1.8273685252035674	0.2559389136980243	0.10664199562542474	0.17768467850809627
Tektite.Day3	Yawzi.Day3	-0.4340098258683065	0.8515468847940104	0.07366978171060744	0.15101885815690472
Tektite.Day3	Yawzi.Day4	-1.0229289501834298	0.054481311076772246	0.10399983981819959	0.18383563141611944
Tektite.Day3	Yawzi.Day5	-0.2773523921075354	0.020913255454878397	0.08018059482408908	0.16825221723573355
Tektite.Day4	Tektite.Day5	0.6836946707530379	0.33188149166302483	0.09513164366087251	0.1643525341738117
Tektite.Day4	Yawzi.Day2	-1.119749548801929	0.5247971109802403	0.11718543777199614	0.18139471809337876
Tektite.Day4	Yawzi.Day3	0.4108422482207597	0.5066941016092549	0.082259817685707	0.14791499417003737
Tektite.Day4	Yawzi.Day4	-0.26398611663322835	0.047677945071665256	0.09983958988508633	0.1702378265479269
Tektite.Day4	Yawzi.Day5	0.47296722596496327	0.20054445458253428	0.09320002678368959	0.16890307216783854
Tektite.Day5	Yawzi.Day2	-1.6429604340797257	0.5345362281081546	0.11078006137366814	0.19172042860005056
Tektite.Day5	Yawzi.Day3	-0.24445680540110273	0.7190659304073759	0.08198794751654295	0.199153217661934
Tektite.Day5	Yawzi.Day4	-0.8391759837900328	0.5878489895639074	0.10925149615955454	0.215562795654177
Tektite.Day5	Yawzi.Day5	-0.11891150869402013	0.4782488311029216	0.1023576068718105	0.18410867131527797
Yawzi.Day2	Yawzi.Day3	1.418965446778783	0.6755052224086504	0.09416550494511597	0.16728705843959776
Yawzi.Day2	Yawzi.Day4	0.8031928133812279	0.6606976339559201	0.11384153358803961	0.19930772376064726
Yawzi.Day2	Yawzi.Day5	1.4232091706961996	0.48042891441350916	0.09648604304741151	0.16445434701520273
Yawzi.Day3	Yawzi.Day4	-0.608707673612643	0.30821896118413905	0.09881817775091208	0.21789357126569203
Yawzi.Day3	Yawzi.Day5	0.09711042783161122	0.3734839247250957	0.09147731257798142	0.20451029770895288
Yawzi.Day4	Yawzi.Day5	0.6542573449232104	0.3509905741391934	0.12020456491940694	0.20121785777653575
