pair1	pair2	t	p.value	q05	q10
Tektite.Day2	Tektite.Day4	2.7135686050576813	0.5989535361670549	0.05731624433005867	0.09916401607926044
Tektite.Day2	Tektite.Day5	2.2419350541574574	0.12585086362156833	0.07059906194988258	0.11255243581899144
Tektite.Day2	Yawzi.Day2	3.3468958922694227	0.22846495068854375	0.056059248492441045	0.10352339343778348
Tektite.Day2	Yawzi.Day3	4.416563877520131	0.5568563681489311	0.04201751699182733	0.07110838236664985
Tektite.Day2	Yawzi.Day4	3.170869664605177	0.31280761967412524	0.03769233102404368	0.08062565335538664
Tektite.Day2	Yawzi.Day5	2.681141186509351	0.7335980162348736	0.056500948259035885	0.10403361236678117
Tektite.Day3	Tektite.Day4	1.8792402419176233	0.2809263073861485	0.07889174559753329	0.1283628794111924
Tektite.Day3	Tektite.Day5	1.2981419628720703	0.8057969881900214	0.08651386836486567	0.13748342442371392
Tektite.Day3	Yawzi.Day2	2.538930399894703	0.4865847988284514	0.06688283206274774	0.1284541456249387
Tektite.Day3	Yawzi.Day3	3.651111742129515	0.682317425724001	0.052747898426164556	0.09019805685816108
Tektite.Day3	Yawzi.Day4	2.399360985055534	0.41779588038570403	0.04756826187631295	0.09763855233906847
Tektite.Day3	Yawzi.Day5	1.8067172448471633	0.36978941847555813	0.06720881271844108	0.11929277393322416
Tektite.Day4	Tektite.Day5	-0.8584365270459055	0.8662271121345919	0.08510775186867653	0.1504874677972198
Tektite.Day4	Yawzi.Day2	0.6397902574341137	0.9936961023615714	0.06297580005922594	0.12990691489851844
Tektite.Day4	Yawzi.Day3	1.636899901094017	0.8409157586016761	0.08597404366301323	0.15552205785526266
Tektite.Day4	Yawzi.Day4	0.6551408817701974	0.9022922019215984	0.06209127499727287	0.12068823440354026
Tektite.Day4	Yawzi.Day5	-0.19914368871177943	0.85322593003648	0.10347708221451382	0.17322542794745685
Tektite.Day5	Yawzi.Day2	1.6373245100074978	0.8525293883346272	0.03452108141135556	0.08600671117899511
Tektite.Day5	Yawzi.Day3	3.046941510069401	0.7029628134537227	0.04352500748510979	0.09005253423795946
Tektite.Day5	Yawzi.Day4	1.5262030208184452	0.5810496217250656	0.028852328889919433	0.06113980677707232
Tektite.Day5	Yawzi.Day5	0.7072837565423168	0.8506604021579359	0.07082870203393161	0.1257557951113248
Yawzi.Day2	Yawzi.Day3	0.9645690493957436	0.9954271738905607	0.032727754315166065	0.07621797650811614
Yawzi.Day2	Yawzi.Day4	0.07971194679306305	0.9078476431371417	0.034765441322875866	0.07766783645190561
Yawzi.Day2	Yawzi.Day5	-0.8977815279009502	0.874627950696786	0.051671383952682975	0.10954241294251055
Yawzi.Day3	Yawzi.Day4	-0.7470134721657797	0.0741190768509867	0.040874875561733644	0.08965421359019915
Yawzi.Day3	Yawzi.Day5	-2.050353448534439	0.7275030228015307	0.07512921133893304	0.14715416184741556
Yawzi.Day4	Yawzi.Day5	-0.8815745905270521	0.21293713199499326	0.05813470073496246	0.10969160080829406
