grouping	sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site
site.time	Metab_273	0.1787301533604457	CINAR_BC_99	seawater	20210125	peak_photo	Day4	LB_seagrass
site.time	Metab_279	0.25049796557264437	CINAR_BC_95	seawater	20210125	peak_photo	Day4	LB_seagrass
site.time	Metab_282	0.2051810929037167	CINAR_BC_100	seawater	20210125	peak_photo	Day4	LB_seagrass
site.time	Metab_286	0.1753030993262247	CINAR_BC_70	seawater	20210124	peak_photo	Day3	LB_seagrass
site.time	Metab_289	0.17589646542524315	CINAR_BC_74	seawater	20210124	peak_photo	Day3	LB_seagrass
site.time	Metab_326	0.2774195057875499	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass
site.time	Metab_329	0.16621814325699308	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass
site.time	Metab_332	0.1527080893665338	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass
site.time	Metab_186	0.08605990245622996	CINAR_BC_47	seawater	20210123	peak_photo	Day2	Yawzi
site.time	Metab_230	0.12163299446447187	CINAR_BC_46	seawater	20210123	peak_photo	Day2	Yawzi
site.time	Metab_239	0.09873649306785691	CINAR_BC_45	seawater	20210123	peak_photo	Day2	Yawzi
site.time	Metab_267	0.09822600733065784	CINAR_BC_97	seawater	20210125	peak_photo	Day4	Yawzi
site.time	Metab_269	0.08787659476524314	CINAR_BC_71	seawater	20210124	peak_photo	Day3	Yawzi
site.time	Metab_271	0.0877800659300592	CINAR_BC_67	seawater	20210124	peak_photo	Day3	Yawzi
site.time	Metab_274	0.08607945747089459	CINAR_BC_69	seawater	20210124	peak_photo	Day3	Yawzi
site.time	Metab_276	0.08589391675381527	CINAR_BC_91	seawater	20210125	peak_photo	Day4	Yawzi
site.time	Metab_285	0.09643439826942199	CINAR_BC_96	seawater	20210125	peak_photo	Day4	Yawzi
site.time	Metab_308	0.11892123795161579	CINAR_BC_113	seawater	20210126	peak_photo	Day5	Yawzi
site.time	Metab_317	0.0939452993672276	CINAR_BC_114	seawater	20210126	peak_photo	Day5	Yawzi
site.time	Metab_323	0.08494232559160138	CINAR_BC_118	seawater	20210126	peak_photo	Day5	Yawzi
site.time	Metab_224	0.18404629290380076	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite
